order_id,warehouse_location,customer_city,distance_km,vehicle_type,rider_id,rider_age,rider_rating,traffic_condition,weather,shift_type,order_category,package_weight_kg,fragile,temperature_sensitive,delivery_priority,delivery_status,Estimated_delivery_time,Actual_delivery_time,delivered_on_time,ROUTE EFFECTENCY CALCULATOR
O100096,Pune,Delhi,21.3,Bike,R1096,34,4.47,Medium,Rainy,Evening,Books,0.94,No,No,Normal,Delivered,99,89,Yes,4.7
O100097,Kolkata,Kolkata,8.1,Van,R1097,21,4.28,High,Clear,Afternoon,Pharma,4.23,No,No,Normal,Delivered,38,36,Yes,4.7
O100098,Kolkata,Mumbai,20.1,Scooter,R1098,37,4.28,Low,Rainy,Afternoon,Furniture,5.07,No,No,Normal,Delivered,72,80,No,3.6
O100099,Kolkata,Mumbai,15.9,Scooter,R1099,42,4.06,Low,Rainy,Morning,Clothing,3.13,No,No,Normal,Delivered,57,54,Yes,3.6
O100100,Delhi,Delhi,13.8,Bike,R1100,46,4.68,High,Clear,Night,Electronics,-0.44,Yes,Yes,Normal,Delivered,66,54,Yes,4.8
O100101,Kolkata,Kolkata,27.2,Bike,R1101,24,4.4,Low,Clear,Morning,Clothing,2.7,No,No,Normal,Delivered,81,80,Yes,3.0
O100102,Chennai,Chennai,23.5,Scooter,R1102,29,4.61,Medium,Rainy,Afternoon,Furniture,1.25,No,No,Normal,Delivered,109,98,Yes,4.6
O100103,Delhi,Pune,5.9,Scooter,R1103,47,4.61,High,Windy,Evening,Clothing,2.38,No,No,Normal,Delivered,31,27,Yes,5.2
O100104,Hyderabad,Mumbai,23.6,Mini Truck,R1104,45,3.77,Low,Foggy,Morning,Furniture,2.8,No,No,High,Delivered,99,100,Yes,4.2
O100105,Kolkata,Ahmedabad,15.1,Scooter,R1105,31,4.52,Medium,Rainy,Morning,Pharma,5.33,No,No,Low,Delivered,70,74,Yes,4.6
O100106,Kolkata,Kolkata,8.3,Mini Truck,R1106,24,4.32,Medium,Foggy,Afternoon,Grocery,4.04,No,No,Normal,Delivered,45,51,No,5.4
O100107,Pune,Chennai,21.3,Bike,R1107,33,4.31,Medium,Rainy,Night,Electronics,-0.64,No,No,Normal,Delivered,99,94,Yes,4.7
O100108,Chennai,Hyderabad,21.5,Bike,R1108,52,4.56,Medium,Rainy,Evening,Furniture,0.95,No,No,Normal,Delivered,100,82,Yes,4.6
O100109,Mumbai,Bangalore,15.4,Bike,R1109,40,4.38,Medium,Foggy,Afternoon,Pharma,4.66,No,No,Normal,Delivered,84,64,Yes,5.5
O100110,Kolkata,Hyderabad,17.2,Scooter,R1110,37,4.7,High,Foggy,Evening,Electronics,1.92,No,No,Low,Delivered,115,117,Yes,6.7
O100111,Delhi,Bangalore,15.7,Scooter,R1111,43,4.49,Low,Foggy,Morning,Books,3.56,No,No,Normal,Delivered,65,56,Yes,4.2
O100112,Chennai,Mumbai,14.5,Mini Truck,R1112,24,4.22,Medium,Clear,Afternoon,Clothing,2.05,Yes,No,Normal,Delivered,56,51,Yes,3.9
O100113,Ahmedabad,Bangalore,23.2,Scooter,R1113,42,3.98,Medium,Clear,Evening,Books,4.31,No,No,Normal,Delivered,90,70,Yes,3.9
O100114,Hyderabad,Ahmedabad,13.7,Scooter,R1114,52,4.32,High,Foggy,Morning,Pharma,3.54,No,No,Low,Delivered,92,91,Yes,6.7
O100115,Ahmedabad,Delhi,21.7,Mini Truck,R1115,42,4.44,Medium,Rainy,Evening,Electronics,4.26,No,No,Normal,Delivered,101,96,Yes,4.6
O100116,Kolkata,Delhi,17.8,Bike,R1116,31,4.54,Medium,Rainy,Night,Books,0.24,No,No,Normal,Delivered,83,74,Yes,4.7
O100117,Ahmedabad,Hyderabad,8.8,Bike,R1117,22,3.9,Medium,Clear,Evening,Furniture,3.75,Yes,Yes,Normal,Delivered,34,37,Yes,3.9
O100118,Delhi,Delhi,14.3,Van,R1118,45,4.23,Low,Foggy,Morning,Electronics,0.91,No,No,Normal,Delivered,59,44,Yes,4.1
O100119,Mumbai,Hyderabad,14.8,Mini Truck,R1119,36,4.93,Medium,Rainy,Night,Grocery,4.29,No,No,High,Delivered,69,73,Yes,4.7
O100120,Mumbai,Chennai,12.3,Mini Truck,R1120,50,4.47,Medium,Clear,Afternoon,Pharma,6.15,No,No,High,Delivered,47,27,Yes,3.8
O100121,Delhi,Chennai,12.7,Mini Truck,R1121,32,4.71,Low,Clear,Afternoon,Grocery,0.58,No,No,Normal,Delivered,37,56,No,2.9
O100122,Kolkata,Hyderabad,18.3,Mini Truck,R1122,52,4.01,Medium,Windy,Morning,Electronics,3.88,No,No,Low,Delivered,78,77,Yes,4.3
O100123,Mumbai,Hyderabad,19.3,Van,R1123,22,4.66,High,Clear,Night,Furniture,0.93,No,No,Normal,Delivered,92,114,No,4.8
O100124,Delhi,Pune,18.2,Van,R1124,53,4.32,High,Clear,Morning,Pharma,2.1,No,No,Low,Delivered,87,70,Yes,4.8
O100125,Pune,Ahmedabad,15.8,Scooter,R1125,24,4.37,Medium,Foggy,Afternoon,Grocery,2.34,No,No,High,Delivered,86,82,Yes,5.4
O100126,Hyderabad,Hyderabad,13.1,Mini Truck,R1126,28,4.09,Low,Rainy,Morning,Furniture,3.93,No,No,Normal,Delivered,47,58,No,3.6
O100127,Kolkata,Pune,13.2,Van,R1127,48,4.44,High,Clear,Afternoon,Furniture,4.48,No,No,Normal,Delivered,63,70,No,4.8
O100128,Kolkata,Kolkata,16.3,Scooter,R1128,31,4.71,Low,Rainy,Evening,Furniture,4.47,No,No,Low,Delivered,58,63,Yes,3.6
O100129,Delhi,Kolkata,18.5,Bike,R1129,40,3.97,High,Clear,Night,Pharma,1.63,No,No,High,Delivered,88,86,Yes,4.8
O100130,Delhi,Pune,23.2,Bike,R1130,54,4.18,High,Clear,Afternoon,Furniture,3.89,No,No,Normal,Delivered,111,103,Yes,4.8
O100131,Delhi,Bangalore,17.0,Bike,R1131,33,4.38,High,Clear,Night,Grocery,1.81,No,No,High,Delivered,81,82,Yes,4.8
O100132,Delhi,Kolkata,18.4,Scooter,R1132,36,4.93,Medium,Clear,Evening,Furniture,2.84,No,No,Normal,Delivered,71,70,Yes,3.9
O100133,Chennai,Kolkata,7.1,Scooter,R1133,21,4.31,Medium,Clear,Night,Furniture,1.81,No,No,Low,Delivered,27,30,Yes,3.8
O100134,Pune,Delhi,6.2,Mini Truck,R1134,30,4.18,Medium,Clear,Evening,Furniture,3.84,No,No,Normal,Delivered,24,35,No,3.9
O100135,Pune,Bangalore,11.7,Van,R1135,33,4.67,Medium,Clear,Evening,Grocery,1.95,No,Yes,Normal,Delivered,45,42,Yes,3.9
O100136,Mumbai,Bangalore,17.7,Bike,R1136,53,4.49,Low,Clear,Afternoon,Furniture,2.94,No,No,Normal,Delivered,53,48,Yes,3.0
O100137,Mumbai,Pune,12.4,Scooter,R1137,37,4.15,Medium,Clear,Morning,Electronics,3.82,No,No,Normal,Delivered,48,35,Yes,3.9
O100138,Bangalore,Bangalore,3.9,Bike,R1138,36,4.66,Low,Clear,Evening,Pharma,0.43,No,Yes,Normal,Delivered,11,1,Yes,2.8
O100139,Pune,Chennai,14.1,Bike,R1139,36,4.62,Low,Clear,Morning,Books,4.5,No,No,Normal,Delivered,42,29,Yes,3.0
O100140,Chennai,Ahmedabad,23.5,Bike,R1140,21,4.13,Low,Clear,Morning,Pharma,5.74,No,No,Normal,Failed,70,80,No,3.0
O100141,Mumbai,Pune,20.9,Bike,R1141,41,4.93,Medium,Clear,Morning,Clothing,1.2,Yes,No,Low,Delivered,81,92,No,3.9
O100142,Chennai,Chennai,7.7,Scooter,R1142,44,4.46,High,Windy,Morning,Furniture,0.13,No,No,Normal,Delivered,40,26,Yes,5.2
O100143,Delhi,Bangalore,14.9,Bike,R1143,40,4.1,Medium,Windy,Evening,Clothing,3.56,No,No,Normal,Delivered,63,57,Yes,4.2
O100144,Delhi,Mumbai,13.0,Bike,R1144,34,4.93,Low,Windy,Afternoon,Grocery,3.96,No,Yes,Normal,Delivered,42,45,Yes,3.2
O100145,Mumbai,Bangalore,13.8,Mini Truck,R1145,21,4.71,High,Clear,Morning,Electronics,0.89,Yes,No,High,Delivered,66,69,Yes,4.8
O100146,Hyderabad,Mumbai,17.3,Mini Truck,R1146,42,4.37,Low,Clear,Night,Electronics,2.19,Yes,No,Normal,Delivered,51,60,No,2.9
O100147,Mumbai,Mumbai,13.8,Van,R1147,27,4.63,Medium,Clear,Afternoon,Electronics,3.35,Yes,No,Normal,Delivered,53,61,No,3.9
O100148,Hyderabad,Pune,21.9,Bike,R1148,52,4.23,Medium,Rainy,Night,Furniture,2.63,No,No,Normal,Delivered,102,98,Yes,4.7
O100149,Delhi,Delhi,7.8,Mini Truck,R1149,24,4.29,Medium,Rainy,Afternoon,Books,4.28,No,No,Normal,Delivered,36,22,Yes,4.6
O100150,Ahmedabad,Hyderabad,18.6,Bike,R1150,36,4.38,Medium,Rainy,Evening,Books,3.68,No,No,High,Delivered,87,98,No,4.7
O100151,Kolkata,Pune,20.0,Scooter,R1151,37,4.16,Low,Clear,Morning,Pharma,1.66,No,No,High,Delivered,60,75,No,3.0
O100152,Bangalore,Bangalore,13.6,Bike,R1152,50,4.01,Medium,Foggy,Afternoon,Pharma,4.27,Yes,No,Normal,Delivered,74,76,Yes,5.4
O100153,Delhi,Bangalore,16.2,Mini Truck,R1153,54,4.88,Medium,Rainy,Morning,Grocery,2.79,No,No,Normal,Delivered,75,78,Yes,4.6
O100154,Chennai,Bangalore,26.5,Scooter,R1154,27,3.75,Low,Foggy,Evening,Grocery,1.46,Yes,No,Normal,Delivered,111,95,Yes,4.2
O100155,Delhi,Hyderabad,15.2,Bike,R1155,40,4.74,Medium,Rainy,Afternoon,Clothing,2.26,No,No,Normal,Delivered,70,77,No,4.6
O100156,Delhi,Ahmedabad,19.0,Scooter,R1156,53,4.64,Medium,Clear,Afternoon,Furniture,3.89,No,No,High,Failed,74,83,No,3.9
O100157,Ahmedabad,Pune,19.9,Bike,R1157,32,3.99,Low,Clear,Morning,Pharma,0.95,No,No,Low,Delivered,59,86,No,3.0
O100158,Chennai,Mumbai,9.6,Mini Truck,R1158,35,4.33,Medium,Clear,Morning,Books,1.27,No,Yes,Normal,Delivered,37,39,Yes,3.9
O100159,Pune,Pune,27.5,Scooter,R1159,35,4.48,Low,Clear,Night,Books,5.56,No,No,Normal,Delivered,82,71,Yes,3.0
O100160,Delhi,Bangalore,13.8,Bike,R1160,40,4.62,Medium,Windy,Night,Books,1.53,No,No,High,Delivered,59,44,Yes,4.3
O100161,Kolkata,Bangalore,14.1,Van,R1161,37,4.12,Medium,Clear,Evening,Electronics,4.92,No,No,Normal,Delivered,54,51,Yes,3.8
O100162,Mumbai,Hyderabad,18.2,Mini Truck,R1162,49,4.36,Medium,Windy,Afternoon,Pharma,0.86,No,No,Normal,Delivered,78,66,Yes,4.3
O100163,Pune,Chennai,15.8,Mini Truck,R1163,44,4.52,Low,Clear,Afternoon,Books,3.43,Yes,No,Normal,Delivered,47,37,Yes,3.0
O100164,Delhi,Hyderabad,13.3,Scooter,R1164,35,4.07,Low,Clear,Morning,Furniture,4.48,No,No,Low,Delivered,39,25,Yes,2.9
O100165,Ahmedabad,Kolkata,18.3,Bike,R1165,32,3.98,Medium,Foggy,Night,Electronics,1.32,No,No,High,Delivered,99,96,Yes,5.4
O100166,Pune,Hyderabad,8.5,Scooter,R1166,39,4.39,Medium,Clear,Evening,Clothing,1.77,No,No,Normal,Delivered,33,31,Yes,3.9
O100167,Pune,Chennai,22.6,Mini Truck,R1167,33,4.01,Low,Foggy,Night,Books,4.72,Yes,No,Normal,Delivered,94,119,No,4.2
O100168,Kolkata,Ahmedabad,16.8,Van,R1168,53,4.04,Medium,Clear,Afternoon,Books,5.93,No,No,Normal,Delivered,65,68,Yes,3.9
O100169,Chennai,Delhi,18.0,Scooter,R1169,50,4.45,Medium,Clear,Morning,Electronics,4.1,No,No,Normal,Delivered,70,82,No,3.9
O100170,Delhi,Hyderabad,13.2,Mini Truck,R1170,27,4.2,Medium,Clear,Morning,Pharma,2.83,No,No,Normal,Delivered,51,50,Yes,3.9
O100171,Chennai,Ahmedabad,12.3,Scooter,R1171,38,4.21,Low,Clear,Afternoon,Furniture,3.01,No,No,Normal,Delivered,36,30,Yes,2.9
